NOM;DCI1
URO / EAU POUR IRRIGATION;EAU POUR PREPARATION INJECTABLE
ELOXATINE 5 MG/ML;OXALIPLATINE
ELOXATINE 5 MG/ML;OXALIPLATINE
VIVALAN;VILOXAZINE
ZADRYL;CETIRIZINE
MYNAZOL;FLUCONAZOLE
ALFACEFAL 125 MG/5 ML;CEFACLOR
NOCAND 50 MG;FLUCONAZOLE
MEDIATOR;BENFLUOREX
GASTROLIBER;LANSOPRAZOLE
CLOFENE;DICLOFENAC
ZELDOX;ZIPRASIDONE
TRIFLUCAN;FLUCONAZOLE
AVT;ACIDE ACETYLSALICYLIQUE / THIAMINE (VITAMINE B1)
KLONOPIN;CLONAZEPAM
HYDROXO 5000;HYDROXOCOBALAMINE
DISPAMOX;AMOXICILLINE
MUSARIL;TETRAZEPAM
PRETERAX;INDAPAMIDE / PERINDOPRIL
CLAFORAN;CEFOTAXIME
RHINOFEBRAL;PARACETAMOL / CHLORPHENAMINE
RIFASONE;RIFAMYCINE / PREDNISOLONE
FLUIBRON;AMBROXOL
AMOXIL;AMOXICILLINE
BENCLAMID;GLIBENCLAMIDE
UNASYN;AMPICILLINE / SULBACTAM
LASILIX;FUROSEMIDE
DILATOR;SALBUTAMOL
DILATOR;SALBUTAMOL
FORMOFTIL;FORMOCORTAL
GENTAGAM 120;GENTAMICINE
UMILINE PROFIL 30 PEN;INSULINE HUMAINE
BIRODOGYL;SPIRAMYCINE / METRONIDAZOLE
GLEMA;GLIMEPIRIDE
SALAZOPYRIN;SULFASALAZINE
XANTHIUM LP;THEOPHYLLINE
AIRLIX;CETIRIZINE
GYNOMYK;BUTOCONAZOLE
AVASTIN;BEVACIZUMAB
FLUMAX 6000 UI ANTI-XA/0.6ML;ENOXAPARINE
PARAPLATINE;CARBOPLATINE
TRIFAX IV;CEFTRIAXONE
GLUCOVANCE;METFORMINE / GLIBENCLAMIDE
IXOR;OMEPRAZOLE
PENICILLINE G 1 M UI DIAMANT;BENZYLPENICILLINE
DIPRIVAN;PROPOFOL
NEORAL;CICLOSPORINE
XANTHIUM LP;THEOPHYLLINE
AGIDERM;ACIDE FUSIDIQUE
GYNO CANESTEN;CLOTRIMAZOLE
CIPRO LP 500 MG;CIPROFLOXACINE
